Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,295.81,296.99,294.74,296.35,1436543.0,0.0,1.0,281.84975962163,282.9740715663,280.83025641756,282.36427525733,1436543.0
2017-12-27,296.41,296.8,294.8,295.62,1447837.0,0.0,1.0,282.42144366129,282.79303828707,280.88742482153,281.6687263424,1447837.0
2017-12-26,295.54,297.44,294.65,295.36,1394737.0,0.0,1.0,281.59250180378,283.40283459605,280.74450381161,281.42099659188,1394737.0
2017-12-22,295.135,296.52,293.01,295.1,2257000.0,0.0,1.0,281.20661507701,282.5262524019,279.18190076986,281.17326684136,2257000.0
2017-12-21,298.04,298.3852,294.1301,295.03,5395193.0,0.0,1.0,283.97451863571,284.30342751987,280.24913959124,281.10657037007,5395193.0
2017-12-20,298.88,299.33,297.11,297.9,2531820.0,0.0,1.0,284.77487629124,285.20363932099,283.08840837423,283.84112569312,2531820.0
2017-12-19,296.35,297.58,294.1809,297.25,2680754.0,0.0,1.0,282.36427525733,283.53622753864,280.29754217327,283.22180131682,2680754.0
2017-12-18,295.08,297.14,294.52,296.14,2901145.0,0.0,1.0,281.1542107067,283.11699257622,280.62063893635,282.16418584344,2901145.0
2017-12-15,296.05,297.37,293.02,293.94,6932943.0,0.0,1.0,282.07843323749,283.33613812475,279.19142883719,280.06801103134,6932943.0
2017-12-14,292.64,296.82,292.6,293.88,3912592.0,0.0,1.0,278.82936227874,282.81209442173,278.79125000943,280.01084262738,3912592.0
2017-12-13,290.5,295.85,289.7,291.84,5002634.0,0.0,1.0,276.7903558706,281.88787189094,276.02811048438,278.06711689252,5002634.0
2017-12-12,288.16,292.8,287.72,289.94,5357513.0,0.0,1.0,274.56078811591,278.98181135598,274.14155315349,276.25678410025,5357513.0
2017-12-11,286.21,286.49,279.9,283.16,4065242.0,0.0,1.0,272.70281498701,272.96960087218,266.69060450321,269.79675445205,4065242.0
2017-12-08,285.01,287.32,283.56,285.9,4440341.0,0.0,1.0,271.55944690768,273.76043046038,270.17787714516,272.40744489985,4440341.0
2017-12-07,278.49,284.79,277.8,281.97,4259441.0,0.0,1.0,265.34714701,271.34982942647,264.68971036438,268.66291444005,4259441.0
2017-12-06,274.87,279.14,274.0046,278.27,2536850.0,0.0,1.0,261.89798663736,265.9664713863,261.07342769082,265.13752952879,2536850.0
2017-12-05,279.01,279.44,274.86,275.54,2805870.0,0.0,1.0,265.84260651104,266.25231340613,261.88845857003,262.53636714832,2805870.0
2017-12-04,276.16,281.83,276.0,277.97,5521964.0,0.0,1.0,263.12710732264,268.52952149746,262.97465824539,264.85168750896,5521964.0
2017-12-01,277.51,278.73,270.6,271.38,4592374.0,0.0,1.0,264.41339641188,265.57582062586,257.82950188842,258.57269113998,4592374.0
2017-11-30,269.91,277.04,269.43,276.8,4817062.0,0.0,1.0,257.1720652428,263.96557724748,256.71471801107,263.73690363161,4817062.0
2017-11-29,269.48,269.6807,266.15,269.3,3028920.0,0.0,1.0,256.76235834771,256.95358665898,253.58951192758,256.59085313581,3028920.0
2017-11-28,267.0,268.01,265.23,267.99,2262052.0,0.0,1.0,254.39939765043,255.36173245053,252.71292973343,255.34267631588,2262052.0
2017-11-27,265.38,266.84,264.72,265.58,1771571.0,0.0,1.0,252.85585074334,254.24694857319,252.22699829971,253.0464120899,1771571.0
2017-11-24,265.26,266.57,264.5304,265.88,788957.0,0.0,1.0,252.74151393541,253.98969075534,252.04634614318,253.33225410973,788957.0
2017-11-22,267.0,267.48,264.53,265.15,1470832.0,0.0,1.0,254.39939765043,254.85674488216,252.04596502048,252.6367051948,1470832.0
2017-11-21,266.24,267.0,264.71,266.99,2267017.0,0.0,1.0,253.67526453353,254.39939765043,252.21747023238,254.38986958311,2267017.0
2017-11-20,263.0,265.6189,262.76,264.63,2445607.0,0.0,1.0,250.58817071934,253.0834762718,250.35949710348,252.14124569376,2445607.0
2017-11-17,262.82,263.74,262.03,262.26,1724590.0,0.0,1.0,250.41666550744,251.29324770159,249.66394818855,249.88309373709,1724590.0
2017-11-16,263.76,265.04,263.34,263.7,2710124.0,0.0,1.0,251.31230383625,252.5318964542,250.91212500848,251.25513543228,2710124.0
2017-11-15,261.42,264.77,260.15,262.86,2510533.0,0.0,1.0,249.08273608156,252.27463863635,247.87267153094,250.45477777675,2510533.0
2017-11-14,262.0,262.4,260.2,261.76,2358069.0,0.0,1.0,249.63536398657,250.01648667968,247.92031186758,249.4066903707,2358069.0
2017-11-13,261.67,263.36,260.49,262.42,2604815.0,0.0,1.0,249.32093776475,250.93118114314,248.19662582008,250.03554281433,2604815.0
2017-11-10,262.11,262.5,259.6,260.85,1740271.0,0.0,1.0,249.74017272717,250.11176735295,247.34862782791,248.53963624388,1740271.0
2017-11-09,265.01,266.75,259.5626,262.7,3215203.0,1.42,1.0,252.50331225222,254.16119596724,247.31299285611,250.30232869951,3215203.0
2017-11-08,266.14,267.62,265.29,265.57,2722230.0,0.0,1.0,252.21665061369,253.61922310527,251.41111911515,251.67647066761,2722230.0
2017-11-07,264.07,267.28,264.07,266.13,3205378.0,0.0,1.0,250.25494449371,253.29701050585,250.25494449371,252.20717377253,3205378.0
2017-11-06,262.62,265.84,262.5327,264.07,2909813.0,0.0,1.0,248.88080252561,251.93234537891,248.79806970229,250.25494449371,2909813.0
2017-11-03,262.42,263.79,260.08,261.75,2610784.0,0.0,1.0,248.69126570243,249.98959294125,246.47368487115,248.05631734475,2610784.0
2017-11-02,258.31,263.24,258.0,262.63,2528457.0,0.0,1.0,244.79628398595,249.46836667749,244.50250191002,248.89027936677,2528457.0
2017-11-01,258.29,259.41,256.24,258.5,2929490.0,0.0,1.0,244.77733030364,245.83873651348,242.83457786598,244.97634396798,2929490.0
2017-10-31,259.34,259.93,257.47,257.98,2742775.0,0.0,1.0,245.77239862536,246.33153225376,244.00022932857,244.4835482277,2742775.0
2017-10-30,255.45,260.41,255.33,259.25,3025787.0,0.0,1.0,242.08590741439,246.78642062941,241.97218532048,245.68710705493,3025787.0
2017-10-27,258.26,259.4994,255.8,256.46,2899168.0,0.0,1.0,244.74889978016,245.92345947344,242.41759685497,243.04306837148,2899168.0
2017-10-26,259.72,261.44,257.31,259.27,3418916.0,0.0,1.0,246.13251858942,247.76253526882,243.84859987002,245.70606073725,3418916.0
2017-10-25,264.78,266.0,254.5,258.4,7318222.0,0.0,1.0,250.92780021602,252.08397483746,241.18560750426,244.88157555639,7318222.0
2017-10-24,263.24,267.21,263.24,266.0,4397286.0,0.0,1.0,249.46836667749,253.23067261773,249.46836667749,252.08397483746,4397286.0
2017-10-23,265.13,265.98,262.14,262.32,3302052.0,0.0,1.0,251.2594896566,252.06502115514,248.42591414997,248.59649729083,3302052.0
2017-10-20,260.36,264.8272,259.44,264.75,3955922.0,0.0,1.0,246.73903642361,250.97253090629,245.86716703696,250.89936969255,3955922.0
2017-10-19,258.98,259.1,256.03,259.04,2589045.0,0.0,1.0,245.43123234363,245.54495443754,242.63556420163,245.48809339058,2589045.0
2017-10-18,258.47,260.73,256.66,260.04,2051651.0,0.0,1.0,244.9479134445,247.08967954651,243.23260519467,246.43577750651,2051651.0
2017-10-17,256.49,259.05,256.26,258.62,2515815.0,0.0,1.0,243.07149889496,245.49757023174,242.8535315483,245.09006606189,2515815.0
2017-10-16,261.5,262.0,259.69,259.75,1818869.0,0.0,1.0,247.81939631577,248.29323837374,246.10408806594,246.16094911289,1818869.0
2017-10-13,262.9,263.79,260.74,260.74,2243883.0,0.0,1.0,249.14615407807,249.98959294125,247.09915638766,247.09915638766,2243883.0
2017-10-12,260.95,262.98,260.0,261.91,2577900.0,0.0,1.0,247.29817005201,249.22196880735,246.39787014188,248.2079468033,2577900.0
2017-10-11,261.32,261.65,259.02,261.44,2890152.0,0.0,1.0,247.6488131749,247.96154893316,245.46913970826,247.76253526882,2890152.0
2017-10-10,259.74,261.06,257.2,260.93,2739589.0,0.0,1.0,246.15147227173,247.40241530476,243.74435461727,247.27921636969,2739589.0
2017-10-09,259.0,259.0,257.11,258.39,2146777.0,0.0,1.0,245.45018602595,245.45018602595,243.65906304684,244.87209871523,2146777.0
2017-10-06,258.0,258.9018,257.06,258.58,2735772.0,0.0,1.0,244.50250191002,245.35712344576,243.61167884104,245.05215869726,2735772.0
2017-10-05,255.28,258.99,254.78,258.89,3940198.0,0.0,1.0,241.92480111469,245.44070918479,241.45095905672,245.34594077319,3940198.0
2017-10-04,256.12,257.13,254.07,255.76,3030643.0,0.0,1.0,242.72085577207,243.67801672916,240.77810333441,242.37968949033,3030643.0
2017-10-03,255.99,258.26,254.69,255.46,3163350.0,0.0,1.0,242.597656837,244.74889978016,241.36566748629,242.09538425555,3163350.0
2017-10-02,254.65,255.99,253.5301,255.99,2685053.0,0.0,1.0,241.32776012165,242.597656837,240.26644868022,242.597656837,2685053.0
2017-09-29,253.85,255.26,252.591,254.21,2530961.0,0.0,1.0,240.5696128289,241.90584743237,239.37647852695,240.91077911064,2530961.0
2017-09-28,254.11,255.8,251.17,254.27,2585753.0,0.0,1.0,240.81601069905,242.41759685497,238.02981939821,240.9676401576,2585753.0
